timestamp,male,female,aufmacher
1587697538.8934286,32,15,0
1587701130.674051,32,16,1
1587704711.6790705,36,16,1
1587708331.1478806,32,16,1
1587711920.6634793,33,17,1
1587715566.664861,28,18,1
1587719128.188501,25,20,1
1587722737.9830937,25,17,1
1587726320.7646613,25,13,1
1587729988.9585834,27,14,0
1587733524.6251647,29,14,0
1587737135.2604337,27,17,0
1587740717.3750234,29,19,0
1587744355.182362,29,18,1
1587747925.1285553,35,17,1
1587751555.6656432,33,21,1
1587755076.416965,29,21,1
1587758771.5294683,31,20,0
1587762319.1830256,30,21,0
1587765924.127583,29,18,0
1587769519.4756038,29,18,0
1587773502.2134244,29,17,0
1587776725.8115888,29,17,0
1587780336.129131,29,17,0
1587783928.5100245,29,17,0
1587787542.4181669,29,17,0
1587791119.4415216,29,17,0
1587794740.2718797,29,20,1
1587798330.2979572,28,16,1
1587801943.365851,27,17,1
1587805595.7510307,33,17,1
1587809118.8735197,35,15,1
1587812721.705024,31,17,1
1587816397.6367972,30,17,1
1587819947.8892584,28,19,1
1587823519.5709312,30,16,1
1587827117.4774795,35,15,0
1587830736.418704,36,14,0
1587834320.1331596,37,14,0
1587837953.3042004,36,15,0
1587841498.779895,34,15,0
1587845171.3181214,35,15,0
1587848723.5468187,36,14,0
1587852315.5364733,36,14,0
1587855926.2114077,35,14,0
1587859905.7385862,35,14,0
1587863126.5533764,35,14,0
1587866741.4812126,35,14,0
1587870328.0376189,35,14,0
1587873939.0255017,35,14,0
1587877525.484346,36,14,0
1587881145.8454945,35,16,0
1587884727.3973663,36,15,0
1587888346.4807389,31,16,0
1587891925.5134795,28,14,0
1587895515.858452,27,17,1
1587899117.0419412,28,15,1
1587902794.021905,30,12,1
1587906298.9297357,31,10,1
1587909930.627718,30,9,1
1587913519.5164022,29,9,1
1587917130.9426863,33,8,0
1587920715.6364532,37,9,1
1587924343.6524594,38,6,1
1587927920.0482278,36,7,1
1587931597.5828066,35,9,1
1587935114.573662,36,9,0
1587938729.097451,36,9,0
1587942312.3552969,35,10,0
1587946331.903596,35,9,0
1587949551.7345843,35,9,0
1587953133.5346189,35,9,0
1587956722.7700815,35,9,0
1587960345.1279073,33,6,0
1587963924.3434296,30,5,0
1587967536.2559717,34,8,0
1587971136.3570414,39,10,0
1587974756.501548,35,12,0
1587978342.8760343,33,13,0
1587981928.879803,33,9,0
1587985516.9526246,31,9,0
1587989193.1340716,29,10,0
1587992743.6984553,33,8,1
1587996332.5873652,38,8,1
1587999926.682215,39,10,0
1588003535.388389,39,10,0
1588007133.9712417,39,10,0
1588010750.6923757,31,11,1
1588014321.2022374,29,10,1
1588017990.741256,29,12,0
1588021523.8236516,26,13,0
1588025188.2397327,27,14,0
1588028743.1886873,27,14,0
1588032740.1483655,27,14,0
1588036096.4351118,27,14,0
1588039556.3561387,27,14,0
1588043142.2418182,27,14,0
1588046755.3591444,30,13,1
1588050341.4447544,29,14,1
1588053956.0925593,29,13,0
1588057518.5768523,31,15,1
1588061267.261211,28,15,1
1588064765.7233715,28,16,0
1588068357.9491148,31,21,0
1588071954.7367487,31,23,1
1588075595.607757,32,21,1
1588079513.8975604,29,21,1
1588082771.9489434,33,18,1
1588086335.276381,35,16,0
1588089963.664175,34,17,0
1588093608.0928812,35,17,0
1588097154.0391293,32,15,0
1588100752.9308124,36,17,0
